ID,NAME,SURNAME,USERNAME,PASSWORD,EMAIL,ROLE,CONFIRMED
1,Donald,Diaz,ddiaz,1234,ddiaz@aol.com,ADMIN ,1
3,Jennifer,Klein,jklein,1234,jklein@live.com,ADMIN ,0
4,Joshua,Baldwin,jbaldwin,1234,jbaldwin@aol.com,ADMIN ,0
7,Jason,Mosley,jmosley,1234,jmosley@gmail.com,ADMIN ,1
8,Ryan,Ferguson,rferguson,1234,rferguson@outlook.com,ADMIN ,1
9,Laura,Smith,lsmith,1234,lsmith@aol.com,ADMIN ,1
13,Elijah,Elliott,eelliott,1234,eelliott@hotmail.com,ADMIN ,1
37,Anthony,Flores,aflores,1234,aflores@live.com,ADMIN ,1
41,Angela,Chase,achase,1234,achase@live.com,ADMIN ,1
42,Rachel,Curtis,rcurtis,1234,rcurtis@aol.com,ADMIN ,1
44,Dana,Taylor,dtaylor,1234,dtaylor@msn.com,ADMIN ,1
46,Aaron,White,awhite,1234,awhite@live.com,ADMIN ,0
48,Diana,Robbins,drobbins,1234,drobbins@live.com,ADMIN ,1
49,David,Smith,dsmith,1234,dsmith@outlook.com,ADMIN ,0
50,Jennifer,Evans,jevans,1234,jevans@outlook.com,ADMIN ,1
55,Jennifer,Ashley,jashley,1234,jashley@msn.com,ADMIN ,1
60,Larry,Miller,lmiller,1234,lmiller@aol.com,ADMIN ,1
77,Christina,Baker,cbaker,1234,cbaker@msn.com,ADMIN ,1
79,Amanda,Austin,aaustin,1234,aaustin@aol.com,ADMIN ,1
82,Sarah,Crawford,scrawford,1234,scrawford@live.com,ADMIN ,0
84,Katie,Bradford,kbradford,1234,kbradford@live.com,ADMIN ,1
88,Nicole,Ingram,ningram,1234,ningram@aol.com,ADMIN ,0
91,Dave,Graham,dgraham,1234,dgraham@live.com,ADMIN ,1
97,Randy,Schmidt,rschmidt,1234,rschmidt@gmail.com,ADMIN ,0
5,Donald,White,dwhite,1234,dwhite@outlook.com,PRODUCTSELLER,0
11,Molly,Roman,mroman,1234,mroman@gmail.com,PRODUCTSELLER,0
12,Steven,Evans,sevans,1234,sevans@hotmail.com,PRODUCTSELLER,1
17,Sandra,Jones,sjones,1234,sjones@aol.com,PRODUCTSELLER,1
18,Carlos,Carter,ccarter,1234,ccarter@aol.com,PRODUCTSELLER,0
19,Brian,York,byork,1234,byork@gmail.com,PRODUCTSELLER,0
20,Eric,Alvarez,ealvarez,1234,ealvarez@live.com,PRODUCTSELLER,1
21,Paul,Clark,pclark,1234,pclark@aol.com,PRODUCTSELLER,0
22,Amanda,Ford,aford,1234,aford@msn.com,PRODUCTSELLER,0
24,Robert,Holt,rholt,1234,rholt@gmail.com,PRODUCTSELLER,0
25,Steven,Martin,smartin,1234,smartin@aol.com,PRODUCTSELLER,1
26,Joanna,Armstrong,jarmstrong,1234,jarmstrong@msn.com,PRODUCTSELLER,0
27,Kayla,Alvarez,kalvarez,1234,kalvarez@aol.com,PRODUCTSELLER,1
28,Corey,Pugh,cpugh,1234,cpugh@outlook.com,PRODUCTSELLER,1
33,Richard,Beck,rbeck,1234,rbeck@live.com,PRODUCTSELLER,1
34,Tara,Barker,tbarker,1234,tbarker@hotmail.com,PRODUCTSELLER,1
38,Connor,Cole,ccole,1234,ccole@msn.com,PRODUCTSELLER,0
43,Zachary,Velasquez,zvelasquez,1234,zvelasquez@gmail.com,PRODUCTSELLER,0
45,Chris,Lee,clee,1234,clee@gmail.com,PRODUCTSELLER,0
47,Tara,Morrison,tmorrison,1234,tmorrison@live.com,PRODUCTSELLER,0
51,Arthur,Thomas,athomas,1234,athomas@aol.com,PRODUCTSELLER,0
52,Bethany,David,bdavid,1234,bdavid@gmail.com,PRODUCTSELLER,1
53,Caleb,Carr,ccarr,1234,ccarr@outlook.com,PRODUCTSELLER,1
54,Tina,Stafford,tstafford,1234,tstafford@yahoo.com,PRODUCTSELLER,1
56,Megan,Weber,mweber,1234,mweber@outlook.com,PRODUCTSELLER,0
57,Natasha,Kennedy,nkennedy,1234,nkennedy@hotmail.com,PRODUCTSELLER,0
58,Elizabeth,Vaughn,evaughn,1234,evaughn@gmail.com,PRODUCTSELLER,1
59,Tyler,Young,tyoung,1234,tyoung@gmail.com,PRODUCTSELLER,0
62,Christopher,Henry,chenry,1234,chenry@gmail.com,PRODUCTSELLER,1
63,Christina,Christensen,cchristensen,1234,cchristensen@live.com,PRODUCTSELLER,0
67,Victoria,Bradley,vbradley,1234,vbradley@aol.com,PRODUCTSELLER,1
70,Kelli,White,kwhite,1234,kwhite@aol.com,PRODUCTSELLER,1
71,Heather,Collins,hcollins,1234,hcollins@hotmail.com,PRODUCTSELLER,0
73,Katherine,Johnson,kjohnson,1234,kjohnson@gmail.com,PRODUCTSELLER,1
75,Wanda,Gilmore,wgilmore,1234,wgilmore@gmail.com,PRODUCTSELLER,1
78,Ernest,Maldonado,emaldonado,1234,emaldonado@outlook.com,PRODUCTSELLER,0
83,Colleen,Ramirez,cramirez,1234,cramirez@live.com,PRODUCTSELLER,1
85,April,Richardson,arichardson,1234,arichardson@hotmail.com,PRODUCTSELLER,1
89,Ebony,Soto,esoto,1234,esoto@hotmail.com,PRODUCTSELLER,0
92,Johnny,Bernard,jbernard,1234,jbernard@live.com,PRODUCTSELLER,0
93,Penny,Wright,pwright,1234,pwright@hotmail.com,PRODUCTSELLER,1
95,Courtney,Evans,cevans,1234,cevans@yahoo.com,PRODUCTSELLER,1
96,Michael,Arias,marias,1234,marias@live.com,PRODUCTSELLER,0
2,James,Fitzpatrick,jfitzpatrick,1234,jfitzpatrick@live.com,USER,1
6,Patricia,Ruiz,pruiz,1234,pruiz@outlook.com,USER,1
10,Leslie,Stone,lstone,1234,lstone@aol.com,USER,1
14,Bryan,Osborn,bosborn,1234,bosborn@hotmail.com,USER,1
15,Jonathan,Byrd,jbyrd,1234,jbyrd@hotmail.com,USER,0
16,Maria,Williams,mwilliams,1234,mwilliams@aol.com,USER,0
23,Jennifer,Matthews,jmatthews,1234,jmatthews@live.com,USER,0
29,David,Osborne,dosborne,1234,dosborne@yahoo.com,USER,1
30,Dawn,Steele,dsteele,1234,dsteele@gmail.com,USER,1
31,Brett,Chan,bchan,1234,bchan@yahoo.com,USER,1
32,Eric,Johnson,ejohnson,1234,ejohnson@aol.com,USER,1
35,Shawn,Abbott,sabbott,1234,sabbott@msn.com,USER,1
36,Laura,Turner,lturner,1234,lturner@outlook.com,USER,1
39,Jason,Freeman,jfreeman,1234,jfreeman@msn.com,USER,1
40,April,Jones,ajones,1234,ajones@yahoo.com,USER,0
61,Joshua,Hernandez,jhernandez,1234,jhernandez@outlook.com,USER,0
64,Troy,Garrison,tgarrison,1234,tgarrison@aol.com,USER,1
65,Diane,Miller,dmiller,1234,dmiller@aol.com,USER,0
66,Sara,Huang,shuang,1234,shuang@live.com,USER,0
68,Sharon,Meyer,smeyer,1234,smeyer@gmail.com,USER,0
69,Timothy,Moore,tmoore,1234,tmoore@hotmail.com,USER,1
72,Lisa,Evans,levans,1234,levans@gmail.com,USER,1
74,Todd,Phillips,tphillips,1234,tphillips@msn.com,USER,1
76,Henry,Harris,hharris,1234,hharris@gmail.com,USER,1
80,Jay,Cortez,jcortez,1234,jcortez@live.com,USER,0
81,Courtney,Pollard,cpollard,1234,cpollard@aol.com,USER,1
86,Tammy,David,tdavid,1234,tdavid@gmail.com,USER,0
87,James,Fleming,jfleming,1234,jfleming@msn.com,USER,0
90,Andre,Mitchell,amitchell,1234,amitchell@yahoo.com,USER,0
94,Elizabeth,Howell,ehowell,1234,ehowell@outlook.com,USER,0
98,Jordan,Hobbs,jhobbs,1234,jhobbs@live.com,USER,1
99,Justin,Cisneros,jcisneros,1234,jcisneros@msn.com,USER,1
100,Sarah,Johnson,sjohnson,1234,sjohnson@live.com,USER,0
